Data as of,Start Date,End Date,Group,Year,Month,MMWR Week,Week Ending Date,State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
10/24/24,7/30/23,8/5/23,By Week,2023,,31,8/5/23,New York,19,1955,109,119,10,,129,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/6/23,8/12/23,By Week,2023,,32,8/12/23,New York,22,1911,107,146,11,,158,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/13/23,8/19/23,By Week,2023,,33,8/19/23,New York,42,1954,108,130,10,,163,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/20/23,8/26/23,By Week,2023,,34,8/26/23,New York,37,1915,108,132,12,,158,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/27/23,9/2/23,By Week,2023,,35,9/2/23,New York,38,1844,103,138,11,0,165,
10/24/24,9/3/23,9/9/23,By Week,2023,,36,9/9/23,New York,54,1932,108,139,20,,176,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/10/23,9/16/23,By Week,2023,,37,9/16/23,New York,47,1812,103,130,22,0,155,
10/24/24,9/17/23,9/23/23,By Week,2023,,38,9/23/23,New York,51,1896,106,135,16,0,170,
10/24/24,9/24/23,9/30/23,By Week,2023,,39,9/30/23,New York,84,2022,110,139,21,0,202,
10/24/24,10/1/23,10/7/23,By Week,2023,,40,10/7/23,New York,78,2080,112,171,25,,225,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/8/23,10/14/23,By Week,2023,,41,10/14/23,New York,75,2128,114,171,27,0,219,
10/24/24,10/15/23,10/21/23,By Week,2023,,42,10/21/23,New York,67,2071,108,149,18,,199,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/22/23,10/28/23,By Week,2023,,43,10/28/23,New York,57,2117,111,179,22,,215,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/29/23,11/4/23,By Week,2023,,44,11/4/23,New York,56,1912,100,138,18,0,176,
10/24/24,11/5/23,11/11/23,By Week,2023,,45,11/11/23,New York,54,2045,106,147,17,0,184,
10/24/24,11/12/23,11/18/23,By Week,2023,,46,11/18/23,New York,64,2094,108,135,21,,179,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/19/23,11/25/23,By Week,2023,,47,11/25/23,New York,58,2045,103,154,23,,193,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/26/23,12/2/23,By Week,2023,,48,12/2/23,New York,65,2110,106,178,21,11,233,
10/24/24,12/3/23,12/9/23,By Week,2023,,49,12/9/23,New York,67,2114,106,184,24,,232,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/10/23,12/16/23,By Week,2023,,50,12/16/23,New York,85,2218,112,196,32,15,263,
10/24/24,12/17/23,12/23/23,By Week,2023,,51,12/23/23,New York,69,2194,106,174,24,12,231,
10/24/24,12/24/23,12/30/23,By Week,2023,,52,12/30/23,New York,102,2258,110,218,31,18,306,
10/24/24,12/31/23,1/6/24,By Week,2024,,1,1/6/24,New York,124,2342,108,230,42,28,338,
10/24/24,12/29/19,1/4/20,By Week,2019/2020,,1,1/4/20,Texas,0,4325,97,318,0,44,362,
10/24/24,1/5/20,1/11/20,By Week,2020,,2,1/11/20,Texas,0,4564,100,376,0,53,429,
10/24/24,1/12/20,1/18/20,By Week,2020,,3,1/18/20,Texas,0,4250,96,294,0,43,337,
10/24/24,1/19/20,1/25/20,By Week,2020,,4,1/25/20,Texas,0,4128,96,309,0,33,342,
10/24/24,1/26/20,2/1/20,By Week,2020,,5,2/1/20,Texas,0,4174,97,276,0,30,306,
10/24/24,2/2/20,2/8/20,By Week,2020,,6,2/8/20,Texas,0,4322,101,285,0,37,322,
10/24/24,2/9/20,2/15/20,By Week,2020,,7,2/15/20,Texas,0,4343,103,301,0,45,346,
10/24/24,2/16/20,2/22/20,By Week,2020,,8,2/22/20,Texas,0,4221,102,281,0,35,316,
10/24/24,2/23/20,2/29/20,By Week,2020,,9,2/29/20,Texas,,4146,102,301,0,39,341,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/1/20,3/7/20,By Week,2020,,10,3/7/20,Texas,,4173,100,277,0,40,318,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/8/20,3/14/20,By Week,2020,,11,3/14/20,Texas,0,4169,103,310,0,34,344,
10/24/24,3/15/20,3/21/20,By Week,2020,,12,3/21/20,Texas,10,4256,106,334,,23,363,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/22/20,3/28/20,By Week,2020,,13,3/28/20,Texas,44,4259,109,347,14,17,392,
10/24/24,3/29/20,4/4/20,By Week,2020,,14,4/4/20,Texas,132,4186,110,370,49,,459,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/5/20,4/11/20,By Week,2020,,15,4/11/20,Texas,205,4266,110,409,79,,539,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/12/20,4/18/20,By Week,2020,,16,4/18/20,Texas,238,4294,113,416,115,,542,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/19/20,4/25/20,By Week,2020,,17,4/25/20,Texas,245,4464,117,343,97,,498,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/26/20,5/2/20,By Week,2020,,18,5/2/20,Texas,238,4263,112,369,104,,510,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/3/20,5/9/20,By Week,2020,,19,5/9/20,Texas,228,4278,115,357,104,,483,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/10/20,5/16/20,By Week,2020,,20,5/16/20,Texas,253,4280,114,365,112,,507,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/17/20,5/23/20,By Week,2020,,21,5/23/20,Texas,171,4255,116,346,81,,440,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/24/20,5/30/20,By Week,2020,,22,5/30/20,Texas,217,4156,111,353,113,,461,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/31/20,6/6/20,By Week,2020,,23,6/6/20,Texas,183,4229,112,316,76,,424,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/7/20,6/13/20,By Week,2020,,24,6/13/20,Texas,226,4396,119,318,94,,450,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/14/20,6/20/20,By Week,2020,,25,6/20/20,Texas,307,4509,121,398,141,,564,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/21/20,6/27/20,By Week,2020,,26,6/27/20,Texas,443,4566,124,415,175,,685,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/28/20,7/4/20,By Week,2020,,27,7/4/20,Texas,816,5036,137,594,377,0,1033,
10/24/24,7/5/20,7/11/20,By Week,2020,,28,7/11/20,Texas,1276,5772,159,940,677,,1543,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/12/20,7/18/20,By Week,2020,,29,7/18/20,Texas,1759,6264,173,1180,926,,2014,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/19/20,7/25/20,By Week,2020,,30,7/25/20,Texas,1895,6310,172,1187,933,,2149,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/26/20,8/1/20,By Week,2020,,31,8/1/20,Texas,1731,5953,159,1178,924,,1986,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/2/20,8/8/20,By Week,2020,,32,8/8/20,Texas,1497,5712,155,1007,773,,1733,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/9/20,8/15/20,By Week,2020,,33,8/15/20,Texas,1377,5782,158,989,750,,1618,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/16/20,8/22/20,By Week,2020,,34,8/22/20,Texas,1004,5033,135,781,556,,1229,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/23/20,8/29/20,By Week,2020,,35,8/29/20,Texas,853,5137,141,727,492,,1089,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/30/20,9/5/20,By Week,2020,,36,9/5/20,Texas,705,4942,135,588,372,0,921,
10/24/24,9/6/20,9/12/20,By Week,2020,,37,9/12/20,Texas,578,4654,126,519,309,,789,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/13/20,9/19/20,By Week,2020,,38,9/19/20,Texas,522,4601,127,507,271,0,758,
10/24/24,9/20/20,9/26/20,By Week,2020,,39,9/26/20,Texas,513,4544,123,511,284,,742,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/27/20,10/3/20,By Week,2020,,40,10/3/20,Texas,437,4589,121,482,246,,675,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/4/20,10/10/20,By Week,2020,,41,10/10/20,Texas,500,4720,124,515,289,,728,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/11/20,10/17/20,By Week,2020,,42,10/17/20,Texas,564,4535,118,521,296,,790,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/18/20,10/24/20,By Week,2020,,43,10/24/20,Texas,695,4812,125,611,389,,918,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/25/20,10/31/20,By Week,2020,,44,10/31/20,Texas,897,5165,131,723,485,,1142,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/1/20,11/7/20,By Week,2020,,45,11/7/20,Texas,1016,5402,137,837,575,,1279,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/8/20,11/14/20,By Week,2020,,46,11/14/20,Texas,1153,5444,138,873,665,,1364,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/15/20,11/21/20,By Week,2020,,47,11/21/20,Texas,1266,5431,134,978,728,,1519,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/22/20,11/28/20,By Week,2020,,48,11/28/20,Texas,1394,5595,138,1034,817,,1612,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/29/20,12/5/20,By Week,2020,,49,12/5/20,Texas,1472,5636,140,1108,863,,1720,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/6/20,12/12/20,By Week,2020,,50,12/12/20,Texas,1630,6057,145,1197,955,,1872,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/13/20,12/19/20,By Week,2020,,51,12/19/20,Texas,1664,6185,141,1221,958,,1929,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/20/20,12/26/20,By Week,2020,,52,12/26/20,Texas,1760,6134,143,1233,970,,2025,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/27/20,1/2/21,By Week,2020/2021,,53,1/2/21,Texas,2014,6546,152,1350,1096,,2270,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/3/21,1/9/21,By Week,2021,,1,1/9/21,Texas,2546,6972,156,1723,1451,,2820,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/10/21,1/16/21,By Week,2021,,2,1/16/21,Texas,2561,7208,158,1773,1494,,2841,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/17/21,1/23/21,By Week,2021,,3,1/23/21,Texas,2451,6997,159,1704,1431,,2725,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/24/21,1/30/21,By Week,2021,,4,1/30/21,Texas,2292,6641,155,1583,1354,,2523,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/31/21,2/6/21,By Week,2021,,5,2/6/21,Texas,1932,6247,146,1354,1124,,2165,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/7/21,2/13/21,By Week,2021,,6,2/13/21,Texas,1561,5896,138,1156,901,,1818,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/14/21,2/20/21,By Week,2021,,7,2/20/21,Texas,1401,6412,152,1082,813,0,1670,
10/24/24,2/21/21,2/27/21,By Week,2021,,8,2/27/21,Texas,1107,5661,137,927,664,,1370,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/28/21,3/6/21,By Week,2021,,9,3/6/21,Texas,860,5191,127,780,518,,1126,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/7/21,3/13/21,By Week,2021,,10,3/13/21,Texas,707,4924,118,633,416,,928,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/14/21,3/20/21,By Week,2021,,11,3/20/21,Texas,576,4612,114,576,347,0,805,
10/24/24,3/21/21,3/27/21,By Week,2021,,12,3/27/21,Texas,446,4566,114,506,271,,684,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/28/21,4/3/21,By Week,2021,,13,4/3/21,Texas,359,4429,114,433,211,,582,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/4/21,4/10/21,By Week,2021,,14,4/10/21,Texas,362,4573,120,445,211,,598,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/11/21,4/17/21,By Week,2021,,15,4/17/21,Texas,348,4297,111,396,195,,549,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/18/21,4/24/21,By Week,2021,,16,4/24/21,Texas,336,4561,120,430,188,,580,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/25/21,5/1/21,By Week,2021,,17,5/1/21,Texas,299,4444,117,402,175,,527,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/2/21,5/8/21,By Week,2021,,18,5/8/21,Texas,301,4359,115,397,172,,527,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/9/21,5/15/21,By Week,2021,,19,5/15/21,Texas,285,4384,118,362,150,,498,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/16/21,5/22/21,By Week,2021,,20,5/22/21,Texas,258,4286,114,330,133,,456,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/23/21,5/29/21,By Week,2021,,21,5/29/21,Texas,266,4286,116,349,154,0,461,
10/24/24,5/30/21,6/5/21,By Week,2021,,22,6/5/21,Texas,197,4243,114,298,115,,381,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/6/21,6/12/21,By Week,2021,,23,6/12/21,Texas,175,4310,115,325,103,,398,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/13/21,6/19/21,By Week,2021,,24,6/19/21,Texas,170,4366,118,345,105,,410,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/20/21,6/26/21,By Week,2021,,25,6/26/21,Texas,166,4343,117,311,97,,382,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/27/21,7/3/21,By Week,2021,,26,7/3/21,Texas,186,4360,118,300,97,0,389,
10/24/24,7/4/21,7/10/21,By Week,2021,,27,7/10/21,Texas,176,4259,116,322,103,,396,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/11/21,7/17/21,By Week,2021,,28,7/17/21,Texas,232,4446,123,366,131,,468,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/18/21,7/24/21,By Week,2021,,29,7/24/21,Texas,346,4445,122,417,197,0,566,
10/24/24,7/25/21,7/31/21,By Week,2021,,30,7/31/21,Texas,517,4805,131,535,291,,763,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/1/21,8/7/21,By Week,2021,,31,8/7/21,Texas,853,5121,137,726,490,,1090,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/8/21,8/14/21,By Week,2021,,32,8/14/21,Texas,1402,5705,155,1029,811,,1620,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/15/21,8/21/21,By Week,2021,,33,8/21/21,Texas,1873,6339,173,1379,1119,,2134,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/22/21,8/28/21,By Week,2021,,34,8/28/21,Texas,2231,6609,177,1648,1398,,2484,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/29/21,9/4/21,By Week,2021,,35,9/4/21,Texas,2315,6713,185,1742,1485,,2575,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/5/21,9/11/21,By Week,2021,,36,9/11/21,Texas,2217,6594,180,1579,1353,,2446,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/12/21,9/18/21,By Week,2021,,37,9/18/21,Texas,2086,6275,170,1502,1263,,2329,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/19/21,9/25/21,By Week,2021,,38,9/25/21,Texas,1939,6213,171,1452,1225,,2168,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/26/21,10/2/21,By Week,2021,,39,10/2/21,Texas,1647,5899,160,1257,1035,,1870,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/3/21,10/9/21,By Week,2021,,40,10/9/21,Texas,1308,5505,145,1064,830,,1547,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/10/21,10/16/21,By Week,2021,,41,10/16/21,Texas,1087,5281,139,916,677,,1326,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/17/21,10/23/21,By Week,2021,,42,10/23/21,Texas,870,5073,132,734,539,,1067,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/24/21,10/30/21,By Week,2021,,43,10/30/21,Texas,659,4879,126,644,436,,870,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/31/21,11/6/21,By Week,2021,,44,11/6/21,Texas,516,4799,122,515,300,,732,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/7/21,11/13/21,By Week,2021,,45,11/13/21,Texas,469,4802,122,489,270,,691,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/14/21,11/20/21,By Week,2021,,46,11/20/21,Texas,428,4786,121,514,259,,684,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/21/21,11/27/21,By Week,2021,,47,11/27/21,Texas,419,4718,117,492,260,,652,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/28/21,12/4/21,By Week,2021,,48,12/4/21,Texas,472,4897,121,562,304,,733,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/5/21,12/11/21,By Week,2021,,49,12/11/21,Texas,497,4914,122,569,288,,785,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/12/21,12/18/21,By Week,2021,,50,12/18/21,Texas,473,4731,114,560,293,,748,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/19/21,12/25/21,By Week,2021,,51,12/25/21,Texas,483,4901,112,550,290,13,753,
10/24/24,12/26/21,1/1/22,By Week,2021/2022,,52,1/1/22,Texas,620,5003,116,630,366,15,899,
10/24/24,1/2/22,1/8/22,By Week,2022,,1,1/8/22,Texas,872,5519,124,741,469,,1148,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/9/22,1/15/22,By Week,2022,,2,1/15/22,Texas,1309,6104,134,1038,736,,1618,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/16/22,1/22/22,By Week,2022,,3,1/22/22,Texas,1757,6742,153,1239,964,14,2039,
10/24/24,1/23/22,1/29/22,By Week,2022,,4,1/29/22,Texas,1938,6840,159,1312,1051,,2201,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/30/22,2/5/22,By Week,2022,,5,2/5/22,Texas,1775,6585,154,1341,1050,12,2074,
10/24/24,2/6/22,2/12/22,By Week,2022,,6,2/12/22,Texas,1527,6228,146,1094,865,,1757,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/13/22,2/19/22,By Week,2022,,7,2/19/22,Texas,1066,5626,133,849,623,,1294,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/20/22,2/26/22,By Week,2022,,8,2/26/22,Texas,796,5126,124,714,456,,1055,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/27/22,3/5/22,By Week,2022,,9,3/5/22,Texas,525,4988,122,516,277,10,771,
10/24/24,3/6/22,3/12/22,By Week,2022,,10,3/12/22,Texas,372,4575,109,409,197,,591,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/13/22,3/19/22,By Week,2022,,11,3/19/22,Texas,288,4640,115,381,150,15,532,
10/24/24,3/20/22,3/26/22,By Week,2022,,12,3/26/22,Texas,229,4543,114,360,114,,480,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/27/22,4/2/22,By Week,2022,,13,4/2/22,Texas,166,4361,112,305,75,,405,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/3/22,4/9/22,By Week,2022,,14,4/9/22,Texas,118,4309,113,269,51,10,344,
10/24/24,4/10/22,4/16/22,By Week,2022,,15,4/16/22,Texas,99,4373,113,265,42,,329,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/17/22,4/23/22,By Week,2022,,16,4/23/22,Texas,82,4153,109,269,32,,327,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/24/22,4/30/22,By Week,2022,,17,4/30/22,Texas,89,4164,110,235,44,,283,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/1/22,5/7/22,By Week,2022,,18,5/7/22,Texas,64,4135,109,249,25,,292,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/8/22,5/14/22,By Week,2022,,19,5/14/22,Texas,79,4220,113,227,30,,279,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/15/22,5/21/22,By Week,2022,,20,5/21/22,Texas,69,4265,113,248,25,,295,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/22/22,5/28/22,By Week,2022,,21,5/28/22,Texas,81,4024,109,231,32,,283,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/29/22,6/4/22,By Week,2022,,22,6/4/22,Texas,82,4187,112,236,30,,294,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/5/22,6/11/22,By Week,2022,,23,6/11/22,Texas,92,4273,114,248,32,,310,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/12/22,6/18/22,By Week,2022,,24,6/18/22,Texas,126,4378,119,263,46,,345,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/19/22,6/25/22,By Week,2022,,25,6/25/22,Texas,139,4345,117,246,58,,327,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/26/22,7/2/22,By Week,2022,,26,7/2/22,Texas,156,4328,117,278,70,,367,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/3/22,7/9/22,By Week,2022,,27,7/9/22,Texas,182,4446,121,301,75,0,408,
10/24/24,7/10/22,7/16/22,By Week,2022,,28,7/16/22,Texas,239,4524,125,308,86,0,461,
10/24/24,7/17/22,7/23/22,By Week,2022,,29,7/23/22,Texas,255,4697,129,288,89,0,454,
10/24/24,7/24/22,7/30/22,By Week,2022,,30,7/30/22,Texas,321,4619,126,351,134,,539,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/31/22,8/6/22,By Week,2022,,31,8/6/22,Texas,300,4417,118,277,100,,477,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/7/22,8/13/22,By Week,2022,,32,8/13/22,Texas,274,4654,126,334,123,,486,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/14/22,8/20/22,By Week,2022,,33,8/20/22,Texas,239,4302,117,333,113,0,459,
10/24/24,8/21/22,8/27/22,By Week,2022,,34,8/27/22,Texas,249,4316,116,290,98,,445,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/28/22,9/3/22,By Week,2022,,35,9/3/22,Texas,203,4315,119,267,83,,389,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/4/22,9/10/22,By Week,2022,,36,9/10/22,Texas,192,4335,118,305,75,,425,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/11/22,9/17/22,By Week,2022,,37,9/17/22,Texas,169,4330,117,268,66,,372,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/18/22,9/24/22,By Week,2022,,38,9/24/22,Texas,160,4421,122,303,65,,399,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
